destination,destination_type,from_location,state,region,trip_type,transport,season,num_days,budget,accommodation_cost,food_cost,entry_fee,travel_time,rating,total_cost,feasible
Vanganga Lake Garden,Nature,Bangalore,Dadra & Nagar Haveli,West,Family,Bus,Winter,7,27326,4000,1125,50,4.0,4.1,35925,0
Tribal Museum DNH,Heritage,Chennai,Dadra & Nagar Haveli,West,Senior,Train,Spring,3,5328,1950,585,50,4.0,4.0,7655,0
Srinagar,Hill Station,Ahmedabad,Jammu & Kashmir,North,Couple,Bike,Monsoon,4,37306,5100,1190,0,12.0,4.6,25160,1
Cotigao Wildlife Sanctuary,Wildlife,Bangalore,Goa,West,Senior,Bus,Spring,3,22204,2600,780,200,5.0,4.2,10340,1
Mysuru,Heritage,Kolkata,Karnataka,South,Solo,Bike,Winter,4,4374,2000,550,150,5.0,4.4,10350,0
Port Blair,Heritage,Mumbai,Andaman & Nicobar,South,Couple,Train,Monsoon,5,47415,4250,1190,50,14.0,4.2,27250,1
Unakoti,Heritage,Lucknow,Tripura,Northeast,Solo,Flight,Summer,9,6646,1200,350,50,23.0,4.4,14000,0
Humayun's Tomb,Heritage,Hyderabad,Delhi,North,Senior,Flight,Winter,5,37120,2600,780,600,5.0,4.5,17500,1
Patnitop,Hill Station,Kolkata,Jammu & Kashmir,North,Senior,Train,Autumn,4,12512,2600,715,0,11.0,4.3,13260,0
Leh Ladakh,Adventure,Kolkata,Ladakh,North,Solo,Car,Autumn,3,21656,3500,700,200,20.0,4.8,12800,1
Zuluk,Adventure,Kolkata,Sikkim,Northeast,Family,Flight,Autumn,6,20095,4000,1125,0,13.0,4.5,30750,0
Ranchi,Nature,Ahmedabad,Jharkhand,East,Senior,Train,Summer,2,10970,1950,585,50,8.0,4.1,5120,1
Baratang Island,Nature,Pune,Andaman & Nicobar,South,Family,Bus,Autumn,10,70313,5000,1500,0,14.0,4.4,65000,1
Tam Dil Lake,Nature,Hyderabad,Mizoram,Northeast,Solo,Car,Spring,2,4535,1300,400,50,25.0,4.2,3450,1
Red Fort,Heritage,Lucknow,Delhi,North,Couple,Flight,Spring,3,8664,4250,1190,500,5.0,4.5,16820,0
Sepahijala Wildlife Sanctuary,Wildlife,Pune,Tripura,Northeast,Friends,Car,Monsoon,3,12752,2600,800,100,22.0,4.2,10300,1
Mon Nagaland,Heritage,Pune,Nagaland,Northeast,Couple,Train,Winter,7,46430,2380,680,0,24.0,4.4,21420,1
Sambalpur,Heritage,Pune,Odisha,East,Couple,Flight,Autumn,5,31195,2550,765,50,9.0,4.2,16625,1
Agumbe,Nature,Delhi,Karnataka,South,Friends,Flight,Autumn,7,10982,2800,800,0,6.0,4.4,25200,0
Raipur,City,Delhi,Chhattisgarh,Central,Solo,Bike,Spring,6,9702,1500,450,0,8.0,3.9,11700,0
Bangaram Island,Beach,Bangalore,Lakshadweep,South,Family,Bus,Monsoon,7,85031,15000,3000,0,20.0,4.5,126000,0
Bishnupur Bengal,Heritage,Mumbai,West Bengal,East,Senior,Car,Summer,7,7549,1820,520,200,4.0,4.4,16580,0
Chamba,Heritage,Kolkata,Himachal Pradesh,North,Friends,Train,Spring,7,10678,3200,900,50,12.0,4.3,28750,0
Pinjore Gardens,Heritage,Kolkata,Haryana,North,Senior,Car,Spring,8,21843,1820,520,30,3.0,4.2,18750,1
Nainital,Hill Station,Lucknow,Uttarakhand,North,Solo,Bus,Winter,8,10667,2000,580,50,8.0,4.4,20690,0
Rishikesh,Adventure,Pune,Uttarakhand,North,Senior,Train,Summer,2,9379,1950,650,0,7.0,4.5,5200,1
Kinnaur,Adventure,Ahmedabad,Himachal Pradesh,North,Family,Flight,Monsoon,5,50252,4500,1250,0,16.0,4.5,28750,1
Jampui Hills,Hill Station,Pune,Tripura,Northeast,Couple,Bike,Spring,4,5693,2210,680,0,24.0,4.3,11560,0
Dimapur,Heritage,Pune,Nagaland,Northeast,Solo,Flight,Spring,8,9173,1500,450,50,21.0,4.0,15650,0
Kavaratti,Beach,Jaipur,Lakshadweep,South,Solo,Car,Monsoon,6,45172,3500,800,0,20.0,4.1,25800,1
Cotigao Wildlife Sanctuary,Wildlife,Ahmedabad,Goa,West,Senior,Train,Monsoon,7,33468,2600,780,200,5.0,4.2,23860,1
Raghurajpur,Heritage,Delhi,Odisha,East,Senior,Flight,Autumn,3,2507,1560,455,0,8.0,4.4,6045,0
Mount Abu,Hill Station,Kolkata,Rajasthan,North,Family,Flight,Winter,8,56317,4500,1300,50,8.0,4.2,46450,1
Lotus Temple,Spiritual,Bangalore,Delhi,North,Friends,Flight,Autumn,3,23577,4000,1200,0,5.0,4.5,15600,1
Rishikesh,Adventure,Delhi,Uttarakhand,North,Senior,Train,Autumn,6,13705,1950,650,0,7.0,4.5,15600,0
Phawngpui Blue Mountain,Hill Station,Hyderabad,Mizoram,Northeast,Senior,Flight,Summer,9,18403,1820,520,100,26.0,4.6,21160,0
Goa,Beach,Jaipur,Goa,South,Family,Train,Autumn,2,34897,6250,2000,0,5.0,4.5,16500,1
Rameswaram,Spiritual,Pune,Tamil Nadu,South,Family,Car,Winter,5,16362,4000,1125,0,9.0,4.5,25625,0
Kodaikanal,Hill Station,Ahmedabad,Tamil Nadu,South,Family,Car,Summer,3,23726,5000,1375,50,7.0,4.4,19175,1
Chopta,Adventure,Pune,Uttarakhand,North,Senior,Bike,Spring,9,41777,1950,585,0,8.0,4.5,22815,1
Sirpur,Heritage,Ahmedabad,Chhattisgarh,Central,Couple,Car,Summer,7,34090,2040,595,50,8.0,4.2,18495,1
Karimnagar,Heritage,Pune,Telangana,South,Senior,Train,Autumn,5,9845,1820,520,50,3.0,4.1,11750,0
Pinjore Gardens Chandigarh,Heritage,Kolkata,Chandigarh,North,Couple,Train,Winter,9,72980,3060,935,30,5.0,4.3,35985,1
French Quarter Pondicherry,Heritage,Jaipur,Puducherry,South,Family,Bus,Summer,6,53527,6250,1750,0,3.0,4.5,48000,1
Cooch Behar,Heritage,Bangalore,West Bengal,East,Friends,Bike,Winter,10,26893,2800,800,50,7.0,4.2,36050,0
Unakoti,Heritage,Bangalore,Tripura,Northeast,Couple,Bus,Winter,7,8335,2040,595,50,23.0,4.4,18495,0
Statue of Unity,Heritage,Lucknow,Gujarat,West,Friends,Bus,Monsoon,7,58189,5000,1200,350,7.0,4.4,43750,1
Jammu,Spiritual,Bangalore,Jammu & Kashmir,North,Senior,Flight,Winter,2,3345,2340,650,0,11.0,4.2,5980,0
Palak Dil,Nature,Ahmedabad,Mizoram,Northeast,Solo,Car,Monsoon,8,7134,1300,400,50,26.0,4.3,13650,0
Jamshedpur,City,Jaipur,Jharkhand,East,Couple,Bike,Spring,8,45422,2550,765,0,7.0,4.0,26520,1
Qila Mubarak Bathinda,Heritage,Bangalore,Punjab,North,Senior,Bike,Monsoon,3,14919,1820,585,50,5.0,4.0,7265,1
Spiti Valley,Adventure,Delhi,Himachal Pradesh,North,Family,Train,Summer,3,35044,4500,1250,100,18.0,4.7,17350,1
Wokha,Nature,Mumbai,Nagaland,Northeast,Friends,Bus,Summer,9,52774,2600,800,0,22.0,4.1,30600,1
Khammam,Nature,Delhi,Telangana,South,Friends,Train,Spring,4,15841,2800,800,50,4.0,4.0,14450,1
Palitana,Spiritual,Bangalore,Gujarat,West,Friends,Car,Summer,2,10095,2600,700,0,6.0,4.5,6600,1
Bomdila,Hill Station,Mumbai,Arunachal Pradesh,Northeast,Family,Bus,Summer,10,27495,3750,1000,0,16.0,4.3,47500,0
Giridih,Spiritual,Pune,Jharkhand,East,Family,Train,Winter,4,30324,3000,875,50,5.0,4.0,15550,1
St Paul's Church Diu,Heritage,Kolkata,Daman & Diu,West,Family,Car,Spring,7,33728,5000,1375,0,5.0,4.3,44625,0
Harike Wetland,Wildlife,Bangalore,Punjab,North,Senior,Bike,Autumn,8,29776,1690,520,50,6.0,4.1,17730,1
Yanam,Heritage,Lucknow,Puducherry,South,Solo,Train,Winter,5,11213,1500,450,0,6.0,4.0,9750,1
Lepakshi,Heritage,Hyderabad,Andhra Pradesh,South,Family,Bus,Autumn,9,62297,3000,875,50,4.0,4.3,34925,1
Tribal Museum DNH,Heritage,Delhi,Dadra & Nagar Haveli,West,Senior,Bike,Autumn,8,43505,1950,585,50,4.0,4.0,20330,1
Auli,Adventure,Lucknow,Uttarakhand,North,Senior,Bus,Spring,10,81414,3900,910,200,10.0,4.6,48300,1
Senapati,Nature,Mumbai,Manipur,Northeast,Family,Train,Summer,4,26013,3000,875,0,21.0,4.0,15500,1
Mandvi,Beach,Jaipur,Gujarat,West,Senior,Car,Winter,6,41395,2600,650,0,8.0,4.2,19500,1
Dimapur,Heritage,Mumbai,Nagaland,Northeast,Solo,Flight,Autumn,7,6900,1500,450,50,21.0,4.0,13700,0
Mahabalipuram,Heritage,Ahmedabad,Tamil Nadu,South,Solo,Flight,Spring,4,20179,1800,500,400,6.0,4.5,9600,1
Chettinad,Heritage,Lucknow,Tamil Nadu,South,Couple,Flight,Spring,4,10082,3400,1020,100,7.0,4.4,17780,0
Palakkad,Nature,Kolkata,Kerala,South,Senior,Bike,Monsoon,4,13465,1950,585,50,5.0,4.2,10190,1
Ujjain,Spiritual,Delhi,Madhya Pradesh,Central,Friends,Bike,Autumn,3,12098,2800,800,0,9.0,4.5,10800,1
Pinjore Gardens Chandigarh,Heritage,Ahmedabad,Chandigarh,North,Solo,Bike,Autumn,2,3261,1800,550,30,5.0,4.3,4730,0
Dirang,Hill Station,Kolkata,Arunachal Pradesh,Northeast,Family,Flight,Autumn,3,29561,3500,1000,0,18.0,4.3,13500,1
Pangong Lake,Nature,Mumbai,Ladakh,North,Friends,Car,Winter,5,13674,5000,1200,0,24.0,4.8,31000,0
Mechuka,Nature,Hyderabad,Arunachal Pradesh,Northeast,Family,Train,Spring,4,22337,4000,1125,0,26.0,4.6,20500,1
Serenity Beach,Beach,Jaipur,Puducherry,South,Senior,Train,Winter,2,9546,2600,780,0,3.0,4.3,6760,1
Bodh Gaya,Spiritual,Lucknow,Bihar,East,Senior,Car,Monsoon,8,31787,1560,520,0,10.0,4.6,16640,1
Sukhna Lake,Nature,Mumbai,Chandigarh,North,Family,Car,Monsoon,10,110509,5000,1500,0,5.0,4.4,65000,1
Agumbe,Nature,Jaipur,Karnataka,South,Senior,Bike,Spring,7,32762,1820,520,0,6.0,4.4,16380,1
Rishikesh,Adventure,Chennai,Uttarakhand,North,Family,Car,Autumn,4,40437,3750,1250,0,7.0,4.5,20000,1
Pahalgam,Hill Station,Chennai,Jammu & Kashmir,North,Couple,Car,Spring,6,20184,4250,1105,0,13.0,4.5,32130,0
Sivasagar,Heritage,Bangalore,Assam,Northeast,Couple,Flight,Monsoon,2,12801,2380,680,50,16.0,4.3,6170,1
Khajjiar,Nature,Lucknow,Himachal Pradesh,North,Friends,Train,Monsoon,10,44334,3200,900,0,12.0,4.4,41000,1
Pawapuri,Spiritual,Bangalore,Bihar,East,Senior,Bus,Spring,2,3992,1430,390,0,11.0,4.3,3640,1
Vanganga Lake Garden,Nature,Pune,Dadra & Nagar Haveli,West,Senior,Flight,Spring,7,29490,2080,585,50,4.0,4.1,18705,1
Hazaribagh,Wildlife,Chennai,Jharkhand,East,Couple,Flight,Monsoon,10,23343,2380,680,100,5.0,4.1,30700,0
Auroville,Spiritual,Ahmedabad,Puducherry,South,Couple,Bike,Monsoon,5,39221,4250,1190,0,3.0,4.5,27200,1
Port Blair,Heritage,Lucknow,Andaman & Nicobar,South,Solo,Train,Summer,8,39598,2500,700,50,14.0,4.2,25650,1
Kolhapur,Heritage,Ahmedabad,Maharashtra,West,Senior,Flight,Autumn,10,38655,2080,650,50,6.0,4.2,27350,1
Akshardham Temple Delhi,Spiritual,Ahmedabad,Delhi,North,Couple,Train,Winter,8,16443,3400,1020,0,5.0,4.6,35360,0
Mon Nagaland,Heritage,Chennai,Nagaland,Northeast,Couple,Bus,Summer,4,6408,2380,680,0,24.0,4.4,12240,0
Rose Garden Chandigarh,Nature,Jaipur,Chandigarh,North,Couple,Bike,Autumn,6,32692,3400,1020,30,5.0,4.3,26550,1
Vagator,Beach,Hyderabad,Goa,West,Family,Train,Summer,8,32208,6250,1750,0,4.0,4.3,64000,0
Ravangla,Nature,Ahmedabad,Sikkim,Northeast,Senior,Flight,Winter,9,54469,2210,585,50,12.0,4.4,25205,1
Jowai,Nature,Mumbai,Meghalaya,Northeast,Solo,Flight,Winter,2,5820,1400,400,0,17.0,4.2,3600,1
Tuensang,Heritage,Mumbai,Nagaland,Northeast,Family,Train,Spring,5,35078,3250,1000,0,24.0,4.1,21250,1
Goa,Beach,Chennai,Goa,South,Family,Flight,Winter,4,55718,6250,2000,0,5.0,4.5,33000,1
Kanger Valley,Wildlife,Pune,Chhattisgarh,Central,Friends,Train,Summer,9,30273,3000,800,100,11.0,4.3,34300,0
Guwahati,City,Jaipur,Assam,Northeast,Family,Car,Autumn,3,31649,4500,1250,0,14.0,4.1,17250,1
Nohkalikai Falls,Nature,Pune,Meghalaya,Northeast,Couple,Bike,Summer,2,12551,2550,680,50,17.0,4.7,6510,1
Nizamabad,Heritage,Bangalore,Telangana,South,Solo,Car,Summer,7,9797,1400,400,50,3.0,4.0,12650,0
Chitrakoot,Spiritual,Mumbai,Uttar Pradesh,North,Family,Flight,Monsoon,6,48131,3250,1000,0,8.0,4.3,25500,1
Madurai,Spiritual,Mumbai,Tamil Nadu,South,Couple,Train,Monsoon,3,8061,2720,816,0,8.0,4.5,10608,0
Havelock Island,Beach,Kolkata,Andaman & Nicobar,South,Friends,Train,Summer,3,53754,7000,1600,0,14.0,4.8,25800,1
Dudhwa National Park,Wildlife,Hyderabad,Uttar Pradesh,North,Solo,Flight,Autumn,2,1957,2000,550,300,8.0,4.4,5400,0
Alchi Monastery,Spiritual,Pune,Ladakh,North,Family,Bus,Spring,3,21034,3750,1125,100,23.0,4.4,14725,1
Minicoy Island,Beach,Jaipur,Lakshadweep,South,Friends,Flight,Summer,10,57518,7000,1600,0,20.0,4.5,86000,0
Bodh Gaya,Spiritual,Jaipur,Bihar,East,Couple,Bus,Winter,5,10495,2040,680,0,10.0,4.6,13600,0
Kadmat Island,Beach,Lucknow,Lakshadweep,South,Couple,Bus,Monsoon,3,14233,5950,1360,0,20.0,4.1,21930,0
Cellular Jail,Heritage,Mumbai,Andaman & Nicobar,South,Senior,Bike,Monsoon,5,30516,3250,910,30,14.0,4.5,20830,1
